"","FootB_SS3","FootB_SS4","FootB_SS6","FootB_SS6Indoor"
"1-Butanol",0,0,0,0.0210932624
"1-Butanol, 3-methyl-",0,0,0,0.0135320448
"1-Heptanol",0,0,0,0.0224934320333333
"1-Octanol",0,0,0,0.00524548663333333
"1-Octen-3-ol",0.0100748097666667,0.00136487965,0,0
"1-Octen-3-one",0,0,0,0.0118914118333333
"1-Octene",0,0,0,0.0840798181
"1-Propanol",0,0,0,0.0345261736333333
"1-Propene, 2-methyl-",0,0.04337982275,0,0
"1,3,5-Triazine",0,0,0,0.00480114516666667
"1,3,6-Trioxocane, 2-methyl-",0.00815827866666667,0,0,0
"1,4-Cyclohexadiene, 1-methyl-",0,0,0,0.651602216966667
"1H-Pyrrole, 2-methyl-",0,0.00891932495,0,0
"1H,1H,2H,2H-Perfluorooctan-1-ol",0,0.001547353,0,0
"2-Chloroethanol",0,0.04420582845,0,0
"2-Cyclohexen-1-one, 3-methyl-",0,0,0,0.0435478501666667
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethylidene)-",0,0,0,0.00301421873333333
"2-Furancarboxaldehyde, 5-methyl-",0.00742859573333333,0,0,0
"2-Heptene",0,0,0.0176599066666667,0
"2-Hexene",0.00871475906666667,0,0,0
"2-n-Butyl furan",0,0.0014797956,0,0.0024360669
"2-Pentanone, 3-methyl-",0,0.0029495982,0,0
"2-Pentenal",0.0036028715,0,0,0
"2-Pentene, 2,3,4-trimethyl-",0,0.00590152045,0,0
"2-Propanol, 2-methyl-",0,0,0,0.00603186573333333
"2-Propanone, 1-chloro-",0.0200186418333333,0,0,0
"2-Propen-1-ol",0.00470105733333333,0,0,0
"2-Undecanethiol, 2-methyl-",0,0,0.0119191606666667,0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0,0,0.0055444329
"2,4-Dimethylfuran",0.0124920169333333,0,0,0
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0,0,0,0.00233735213333333
"2H-Pyran-2-one, tetrahydro-",0,0,0,0.00216298586666667
"3-Carene",0.0084622257,0,0,0
"3-Decanone",0,0,0,0.0091587093
"3-Heptene",0.00573406863333333,0,0,0
"3-Hexene",0,0.0097534427,0,0
"3-Nonanone",0,0.00291770555,0,0
"3-Octanol",0,0,0,0.00404889433333333
"3-Octanone",0,0,0,0.0827402220666667
"3-Pentanol",0,0,0,0.00122853803333333
"3-Penten-2-ol",0,0,0,0.0008804326
"3-Penten-2-one",0.0162300542333333,0,0,0
"3,5-Dithiahexanol 5,5-dioxide",0,0.0251521935,0,0
"4-Ethyl-2-hexene",0,0.02354620035,0,0
"4-Tridecene",0,0.0043705508,0,0
"5-Hepten-2-one, 6-methyl-",0,0,0.004977867,0
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin",0.0024426375,0,0,0.000481723573333333
"Acetaldehyde",0.103639891433333,0,0,0
"Acetic acid ethenyl ester",0.0879064177666667,0,0,0
"Anisole",0,0,0,0.00180288773333333
"Benzaldehyde",0,0,0,0.188913395233333
"Benzaldehyde, 4-(1-methylethyl)-",0,0,0,0.0184510259666667
"Benzene, (1-butylheptyl)-",0,0,0.0428295193333333,0.0144221867
"Benzene, (1-propyldecyl)-",0,0.00203482055,0,0
"Benzene, (1,3-dimethylbutyl)-",0,0,0,0.0032298152
"Benzene, 1-chloro-4-(trifluoromethyl)-",0,0,0.00421394733333333,0
"Benzene, 1-methyl-3-[(4-methylphenyl)methyl]-",0.0021510897,0,0,0
"Benzene, 1,1'-(1,1,2,2-tetramethyl-1,2-ethanediyl)bis-",0.0271898453,0,0,0
"Benzene, 1,2-dichloro-",0,0.00214435895,0,0
"Benzene, 2-ethyl-1,4-dimethyl-",0.0099808621,0,0,0
"Benzene, n-butyl-",0,0.00425949095,0,0
"Benzofuran, 2-methyl-",0,0,0.003041866,0
"Bicyclo[3.1.0]hex-2-ene, 4-methylene-1-(1-methylethyl)-",0,0,0,0.3266519078
"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-, (1R)-",0.0103044867333333,0.00200089575,0,0
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",0.0131570357666667,0,0,0
"Butanenitrile",0,0,0,0.00719274546666667
"Butanoic acid",0,0,0,0.2576882639
"Butanoic acid, 2-methyl-",0,0,0,0.0792772846
"Butanoic acid, 3-methyl-",0,0,0,0.0598578704
"C2H5CH=CHCH=CH2",0,0,0,0.00192724876666667
"Camphene",0.00374999283333333,0,0,0
"Carbonic acid, tetradecyl vinyl ester",0,0.0042311293,0,0
"Carbonyl sulfide",0,0,0,0.00746913706666667
"Carveol",0,0,0,0.00223600773333333
"Cyclobutane, ethenyl-",0,0.00798718975,0,0
"Cyclobutylamine",0,0,0.013743314,0
"Cyclohexane, 1,1,2,3-tetramethyl-",0,0,0,0.0061777134
"Cyclohexene, 3,3,5-trimethyl-",0,0.0044341888,0,0
"Cyclohexene, 3,5,5-trimethyl-",0,0,0.007904367,0
"Cyclopentanone, 3-methyl-",0.00415361993333333,0,0,0
"Cyclopentene, 3-ethyl-",0.0030192641,0,0,0
"Diethyl azodicarboxylate",0,0.070610126,0,0
"Diethyltoluamide",3.3920073932,0.038630182,0,0
"Dimethyl sulfide",0,0,0,0.000964802166666667
"Diphenyl sulfide",0,0.00315563495,0,0.0149820527333333
"Disulfide, dimethyl",0.0131671283,0,0,0
"Dotriacontane",0,0,0,0.0277042963
"E-2-Octadecadecen-1-ol",0,0,0,0.0178588673666667
"Ethanol, 2-(methylamino)-",0.672237762333333,0,0,0
"Ethanol, 2-butoxy-",0,0,0.00307443366666667,0.00478464336666667
"Ethanol, 2,2,2-trifluoro-",0.0221418841666667,0,0,0
"Ethanone, 1-(2-furanyl)-",0,0,0,0.00211021076666667
"Ethyl Chloride",0,0,0,0.00227705326666667
"Furan, 2-ethyl-",0,0,0.00836097633333333,0
"Furan, 2-pentyl-",0.1065665825,0,0,0
"Furan, 3-(4-methyl-3-pentenyl)-",0,0,0,0.0582562123666667
"Heptane",0,0,0,0.6402644871
"Heptane, 2,6-dimethyl-",0,0,0,0.0265081592666667
"Hexacosane",0,0,0,0.0187103589333333
"Hexadecane",0,0,0,0.0124334997666667
"Hexane, 1-chloro-5-methyl-",0,0,0,0.0399754904333333
"Hexane, 2,2,5-trimethyl-",0,0,0,0.0855135086333333
"Hexane, 3-ethyl-2-methyl-",0,0,0,0.0084542041
"Hexane, tetradecafluoro-",0.0360466534,0,0,0
"l-Leucine, n-butoxycarbonyl-N-methyl-, undecyl ester",0,0,0,0.0557425138333333
"Methane, bromodichloro-",0,0,0,0.000429641166666667
"Methane, isothiocyanato-",0.00380431023333333,0,0,0
"Methane, tribromo-",0,0.0003600841,0,0
"Methenamine",0,0,0,0.0780773719666667
"Methyl isocyanide",0.241958517,0,0,0
"Nitric oxide",0,0.01596271945,0,0
"Nonane, 3,7-dimethyl-",0,0,0,0.0146492042
"Nonane, 4,5-dimethyl-",0,0,0,0.00533297553333333
"Octane, 2,7-dimethyl-",0,0,0,0.00790236416666667
"Octane, 4-ethyl-",0,0,0,0.0171812002666667
"p-Cymene",0,0,0,0.174379713533333
"p-Mentha-1,5-dien-8-ol",0,0,0,0.194915768033333
"Pentanal, 3-methyl-",0,0.00360689935,0,0
"Pentanoic acid",0,0,0,0.0032838336
"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",0,0.01229578835,0,0
"Pentanoic acid, 4-methyl-",0,0,0,0.0399780178666667
"Phenol, 2-chloro-",0,0,0,0.0004408903
"Phenol, 2-methyl-",0.00298585653333333,0,0,0
"Phenol, 3-fluoro-",0,0,0,0.000868508333333333
"Phenol, p-tert-butyl-",0,0,0.00619395733333333,0
"Phthalic acid, 2-isopropylphenyl methyl ester",0,0.00255282895,0,0.00964692393333333
"Propanal",0,0,0,0.044490447
"Propanal, 2-methyl-",0,0.01070661105,0,0
"Propane, 1,1,2,2-tetrafluoro-",0,0.00273133355,0,0
"Propane, 2-iodo-",0.00846410736666667,0,0,0
"Propanoic acid",0,0,0,0.0276156011666667
"Propanoic acid, 2-methyl-",0,0,0,0.0848828686333333
"Propanoic acid, 2,2-dimethyl-",0,0,0,0.0052812101
"Propylene Glycol",0,0.22021910085,0,0
"Stearic acid hydrazide",0,0.04074295635,0,0
"Sulfurous acid, butyl octyl ester",0,0.00122801035,0,0
"Tetrahydropyran",0.00285287663333333,0,0,0
"Thiocyanic acid, methyl ester",0.00309044686666667,0,0,0.0005433007
"Thiourea, tetramethyl-",0,0,0,0.00455516703333333
"trans-3-Caren-2-ol",0,0,0,0.324290919966667
"Tridecane, 5-methyl-",0,0,0,0.0273247306666667
"Undecane, 3,5-dimethyl-",0,0.0016036779,0,0
"Undecane, 4,7-dimethyl-",0,0,0,0.00818832853333333
"Vinylcyclopentane",0.00135464023333333,0,0,0
"α-Pinene",0.00836995463333333,0,0,0
"β-Myrcene",0,0,0,0.115435863033333
"β-Ocimene",0,0,0,0.0156885351333333
"β-Phellandrene",0,0,0,0.0273528093
"γ-Terpinene",0,0,0,0.0124358633666667
